break_state,confirmation,end,entry_ask,mae,mfe,minute,quality,reason,session_date,setup,side,strike,structure,symbol,volume_state,vwap_state
NO_BREAK,CONTRADICTED,-8.75,83.75,-18.4,7.75,14:52,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → ABOVE VWAP → AT VAH → VOLUME DECLINING,2026-08-31,RANGE_ROTATION,CE,24150.0,RANGE,NIFTY,VOLUME_DECLINING,ABOVE_VWAP
NO_BREAK,CONTRADICTED,-26.1,380.85,-42.85,16.15,14:52,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → AT VAH → VOLUME DECLINING,2026-08-31,PULLBACK_IN_TREND,CE,77300.0,TRENDING_UP,SENSEX,VOLUME_DECLINING,ABOVE_VWAP
NO_BREAK,CONTRADICTED,19.5,40.0,-1.3,29.7,13:47,B,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → LOWER LOW → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME DECLINING,2026-09-01,PULLBACK_IN_TREND,PE,24050.0,TRENDING_DOWN,NIFTY,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,CONTRADICTED,-34.5,313.2,-34.5,-0.6,10:51,B,Price action contradicts the candidate: structure reads trending down. LOWER HIGH → LOWER LOW → CROSSING VWAP → AT VAH → VOLUME SPIKE,2026-09-08,PULLBACK_IN_TREND,CE,75900.0,TRENDING_DOWN,SENSEX,VOLUME_SPIKE,CROSSING_VWAP
EXHAUSTED_BREAK,CONTRADICTED,15.3,118.0,1.55,15.3,15:29,B,Price action contradicts the candidate: the move is already extended beyond the level; volume is not confirming the move's direction. LOWER HIGH → HIGHER LOW → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL,2026-09-09,EXTENDED_MOVE,PE,23500.0,BREAKDOWN,NIFTY,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,CONTRADICTED,-9.7,261.1,-17.65,-2.7,09:26,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → CROSSING VWAP → AT VAH → VOLUME DECLINING,2026-09-09,RANGE_ROTATION,CE,75200.0,RANGE,SENSEX,VOLUME_DECLINING,CROSSING_VWAP
NO_BREAK,CONTRADICTED,-31.05,157.15,-31.05,8.7,10:08,B,Price action contradicts the candidate: structure reads trending up. HIGHER HIGH → HIGHER LOW → CROSSING VWAP → VOLUME SPIKE,2026-09-10,PULLBACK_IN_TREND,PE,74700.0,TRENDING_UP,SENSEX,VOLUME_SPIKE,CROSSING_VWAP
NO_BREAK,CONTRADICTED,-9.8,146.2,-12.85,11.6,10:55,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → BELOW VWAP → AT VAL → VOLUME NORMAL,2026-09-10,NO_CLEAR_SETUP,PE,74700.0,BREAKDOWN,SENSEX,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,CONTRADICTED,19.25,342.7,-0.2,28.3,10:24,A,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → REJECTED VWAP → VOLUME DECLINING,2026-09-16,NO_CLEAR_SETUP,CE,74300.0,BREAKOUT_UP,SENSEX,VOLUME_DECLINING,REJECTED_VWAP
NO_BREAK,CONTRADICTED,2.2,329.0,-13.0,4.95,11:26,A,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → LOWER LOW → CROSSING VWAP → AT POC → VOLUME DECLINING,2026-09-16,PULLBACK_IN_TREND,PE,74300.0,TRENDING_DOWN,SENSEX,VOLUME_DECLINING,CROSSING_VWAP
NO_BREAK,NO_SETUP,-14.9,429.95,-20.0,8.45,11:58,B,"Bullish candidate with no clean setup: No break of 74,497.9. HIGHER HIGH → CROSSING VWAP → AT VAH → VOLUME SPIKE",2026-09-18,NO_CLEAR_SETUP,CE,74600.0,BREAKOUT_UP,SENSEX,VOLUME_SPIKE,CROSSING_VWAP
NO_BREAK,CONTRADICTED,5.75,138.35,0.85,20.8,13:52,B,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → LOWER LOW → DISTANT FROM VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL,2026-09-24,PULLBACK_IN_TREND,PE,23100.0,TRENDING_DOWN,NIFTY,VOLUME_NORMAL,DISTANT_FROM_VWAP
NO_BREAK,CONTRADICTED,2.5,146.35,-1.7,9.65,11:32,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → BELOW VWAP → AT VAL → VOLUME DECLINING,2026-09-24,NO_CLEAR_SETUP,PE,74100.0,BREAKDOWN,SENSEX,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,CONTRADICTED,-53.05,128.95,-53.05,19.65,15:13,B,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → BELOW VWAP → VOLUME DECLINING,2026-09-24,NO_CLEAR_SETUP,PE,73700.0,MIXED,SENSEX,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,NO_SETUP,6.25,106.4,-2.75,6.8,12:43,A,"Bearish candidate with no clean setup: No break of 23,063.1. LOWER HIGH → LOWER LOW → BELOW VWAP → AT VAL → VOLUME EXPANDING",2026-09-25,NO_CLEAR_SETUP,PE,23100.0,BREAKDOWN,NIFTY,VOLUME_EXPANDING,BELOW_VWAP
