break_state,final,minute,pa_reason,price_action,rejection,session_date,setup,structure,symbol,thirteen_a,value_state,volume_state,vwap_state
NO_BREAK,WAIT,13:15,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → REJECTED VWAP → AT VAL → VOLUME DECLINING,CONTRADICTED,,2026-08-06,NO_CLEAR_SETUP,MIXED,NIFTY,BUY_PE,AT_VAL,VOLUME_DECLINING,REJECTED_VWAP
CLEAN_BREAK,WAIT,15:04,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 78,755.1 → NO FOLLOW-THROUGH YET → REJECTED VWAP → AT VAL → VOLUME SPIKE",PARTIAL,,2026-08-06,BREAKOUT_CONTINUATION,BREAKDOWN,SENSEX,BUY_PE,AT_VAL,VOLUME_SPIKE,REJECTED_VWAP
CLEAN_BREAK,WAIT,10:18,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 24,594.0 → NO FOLLOW-THROUGH YET → CROSSING VWAP → AT VAL → VOLUME NORMAL",PARTIAL,,2026-08-07,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,AT_VAL,VOLUME_NORMAL,CROSSING_VWAP
CLEAN_BREAK,WAIT,10:19,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 24,591.8 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",PARTIAL,,2026-08-07,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_EXPANDING,BELOW_VWAP
NO_BREAK,WAIT,09:43,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → BELOW VWAP → AT VAL → VOLUME DECLINING,CONTRADICTED,,2026-08-10,RANGE_ROTATION,RANGE,NIFTY,BUY_PE,AT_VAL,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,WAIT,10:30,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING,CONTRADICTED,,2026-08-10,PULLBACK_IN_TREND,TRENDING_UP,NIFTY,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,WAIT,11:10,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 78,110.0 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME SPIKE",PARTIAL,,2026-08-11,BREAKOUT_CONTINUATION,BREAKDOWN,SENSEX,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_SPIKE,BELOW_VWAP
CLEAN_BREAK,WAIT,10:05,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 24,370.3 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL",PARTIAL,,2026-08-12,BREAKOUT_CONTINUATION,TRENDING_DOWN,NIFTY,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,WAIT,11:03,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 24,309.3 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL",PARTIAL,,2026-08-12,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,WAIT,13:51,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME NORMAL,CONTRADICTED,,2026-08-14,PULLBACK_IN_TREND,TRENDING_UP,NIFTY,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_NORMAL,ABOVE_VWAP
CLEAN_BREAK,WAIT,09:31,"Partial: LOWER LOW → LOW BREAK at 24,094.5 → NO FOLLOW-THROUGH YET → BELOW VWAP → AT VAL → VOLUME NORMAL",PARTIAL,,2026-08-19,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,AT_VAL,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,WAIT,11:08,"Partial: HIGHER HIGH → LOWER LOW → LOW BREAK at 24,045.0 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",PARTIAL,,2026-08-19,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_EXPANDING,BELOW_VWAP
CLEAN_BREAK,WAIT,14:50,"Partial: HIGHER HIGH → HIGHER LOW → HIGH BREAK at 77,425.0 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME EXPANDING",PARTIAL,,2026-08-25,BREAKOUT_CONTINUATION,BREAKOUT_UP,SENSEX,BUY_CE,ACCEPTANCE_ABOVE_VAH,VOLUME_EXPANDING,ABOVE_VWAP
NO_BREAK,WAIT,09:49,Price action contradicts the candidate: structure reads trending down. LOWER HIGH → LOWER LOW → CROSSING VWAP → VOLUME EXPANDING,CONTRADICTED,,2026-08-27,PULLBACK_IN_TREND,TRENDING_DOWN,NIFTY,BUY_CE,INSIDE_VALUE,VOLUME_EXPANDING,CROSSING_VWAP
CLEAN_BREAK,WAIT,11:27,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 77,188.9 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",PARTIAL,,2026-08-28,BREAKOUT_CONTINUATION,BREAKDOWN,SENSEX,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_EXPANDING,BELOW_VWAP
NO_BREAK,WAIT,14:52,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → ABOVE VWAP → AT VAH → VOLUME DECLINING,CONTRADICTED,,2026-08-31,RANGE_ROTATION,RANGE,NIFTY,BUY_CE,AT_VAH,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,WAIT,10:07,"Partial: LOWER HIGH → LOWER LOW → HIGH BREAK at 76,924.1 → NO FOLLOW-THROUGH YET → CROSSING VWAP → VOLUME SPIKE",PARTIAL,,2026-08-31,BREAKOUT_CONTINUATION,BREAKOUT_UP,SENSEX,BUY_CE,INSIDE_VALUE,VOLUME_SPIKE,CROSSING_VWAP
NO_BREAK,WAIT,14:52,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → ABOVE VWAP → AT VAH → VOLUME DECLINING,CONTRADICTED,,2026-08-31,PULLBACK_IN_TREND,TRENDING_UP,SENSEX,BUY_CE,AT_VAH,VOLUME_DECLINING,ABOVE_VWAP
NO_BREAK,WAIT,13:47,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → LOWER LOW → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME DECLINING,CONTRADICTED,,2026-09-01,PULLBACK_IN_TREND,TRENDING_DOWN,NIFTY,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_DECLINING,BELOW_VWAP
CLEAN_BREAK,WAIT,10:16,"Partial: HIGHER LOW → HIGH BREAK at 76,877.2 → NO FOLLOW-THROUGH YET → CROSSING VWAP → AT VAH → VOLUME DECLINING",PARTIAL,,2026-09-01,BREAKOUT_CONTINUATION,BREAKOUT_UP,SENSEX,BUY_CE,AT_VAH,VOLUME_DECLINING,CROSSING_VWAP
CLEAN_BREAK,WAIT,11:41,"Partial: LOWER HIGH → HIGHER LOW → LOW BREAK at 77,140.9 → NO FOLLOW-THROUGH YET → ABOVE VWAP → ACCEPTANCE ABOVE VAH → VOLUME DECLINING",PARTIAL,,2026-09-01,BREAKOUT_CONTINUATION,BREAKDOWN,SENSEX,BUY_PE,ACCEPTANCE_ABOVE_VAH,VOLUME_DECLINING,ABOVE_VWAP
CLEAN_BREAK,WAIT,13:48,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 76,880.4 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME DECLINING",PARTIAL,,2026-09-01,BREAKOUT_CONTINUATION,BREAKDOWN,SENSEX,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_DECLINING,BELOW_VWAP
CLEAN_BREAK,WAIT,15:02,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 23,868.0 → NO FOLLOW-THROUGH YET → ABOVE VWAP → VOLUME EXPANDING",PARTIAL,,2026-09-02,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,INSIDE_VALUE,VOLUME_EXPANDING,ABOVE_VWAP
CLEAN_BREAK,WAIT,12:24,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 23,914.9 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",PARTIAL,,2026-09-03,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_EXPANDING,BELOW_VWAP
CLEAN_BREAK,WAIT,09:28,"Partial: LOWER HIGH → LOW BREAK at 76,586.8 → NO FOLLOW-THROUGH YET → BELOW VWAP → AT VAL → VOLUME NORMAL",PARTIAL,,2026-09-04,BREAKOUT_CONTINUATION,BREAKDOWN,SENSEX,BUY_PE,AT_VAL,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,WAIT,09:53,"Partial: HIGHER HIGH → HIGHER LOW → HIGH BREAK at 76,642.1 → NO FOLLOW-THROUGH YET → ABOVE VWAP → AT VAH → VOLUME DECLINING",PARTIAL,,2026-09-04,BREAKOUT_CONTINUATION,BREAKOUT_UP,SENSEX,BUY_CE,AT_VAH,VOLUME_DECLINING,ABOVE_VWAP
INSUFFICIENT_DATA,BUY_PE,09:25,Structure or break quality could not be established.,UNKNOWN,,2026-09-07,NO_CLEAR_SETUP,INSUFFICIENT_DATA,NIFTY,BUY_PE,UNKNOWN,UNKNOWN,UNKNOWN
NO_BREAK,WAIT,10:51,Price action contradicts the candidate: structure reads trending down. LOWER HIGH → LOWER LOW → CROSSING VWAP → AT VAH → VOLUME SPIKE,CONTRADICTED,,2026-09-08,PULLBACK_IN_TREND,TRENDING_DOWN,SENSEX,BUY_CE,AT_VAH,VOLUME_SPIKE,CROSSING_VWAP
CLEAN_BREAK_WITH_FOLLOW_THROUGH,WAIT,12:29,"Partial: HIGH BREAK at 23,491.3 → FOLLOW-THROUGH → CROSSING VWAP → VOLUME NORMAL",PARTIAL,,2026-09-09,BREAKOUT_CONTINUATION,BREAKOUT_UP,NIFTY,BUY_CE,INSIDE_VALUE,VOLUME_NORMAL,CROSSING_VWAP
EXHAUSTED_BREAK,WAIT,15:29,Price action contradicts the candidate: the move is already extended beyond the level; volume is not confirming the move's direction. LOWER HIGH → HIGHER LOW → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL,CONTRADICTED,,2026-09-09,EXTENDED_MOVE,BREAKDOWN,NIFTY,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,WAIT,09:26,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → CROSSING VWAP → AT VAH → VOLUME DECLINING,CONTRADICTED,,2026-09-09,RANGE_ROTATION,RANGE,SENSEX,BUY_CE,AT_VAH,VOLUME_DECLINING,CROSSING_VWAP
CLEAN_BREAK,WAIT,14:46,"Partial: LOW BREAK at 74,954.8 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME EXPANDING",PARTIAL,,2026-09-09,BREAKOUT_CONTINUATION,BREAKDOWN,SENSEX,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_EXPANDING,BELOW_VWAP
INSUFFICIENT_DATA,BUY_PE,09:31,Structure or break quality could not be established.,UNKNOWN,,2026-09-10,NO_CLEAR_SETUP,INSUFFICIENT_DATA,NIFTY,BUY_PE,UNKNOWN,UNKNOWN,UNKNOWN
CLEAN_BREAK,WAIT,10:55,"Partial: HIGHER HIGH → HIGHER LOW → LOW BREAK at 23,416.0 → NO FOLLOW-THROUGH YET → BELOW VWAP → AT VAL → VOLUME DECLINING",PARTIAL,,2026-09-10,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,AT_VAL,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,WAIT,10:08,Price action contradicts the candidate: structure reads trending up. HIGHER HIGH → HIGHER LOW → CROSSING VWAP → VOLUME SPIKE,CONTRADICTED,,2026-09-10,PULLBACK_IN_TREND,TRENDING_UP,SENSEX,BUY_PE,INSIDE_VALUE,VOLUME_SPIKE,CROSSING_VWAP
NO_BREAK,WAIT,10:55,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → BELOW VWAP → AT VAL → VOLUME NORMAL,CONTRADICTED,,2026-09-10,NO_CLEAR_SETUP,BREAKDOWN,SENSEX,BUY_PE,AT_VAL,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,WAIT,12:04,"Partial: LOWER LOW → HIGH BREAK at 74,689.1 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL",PARTIAL,,2026-09-15,BREAKOUT_CONTINUATION,BREAKOUT_UP,SENSEX,BUY_CE,ACCEPTANCE_BELOW_VAL,VOLUME_NORMAL,BELOW_VWAP
NO_BREAK,WAIT,10:24,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → HIGHER LOW → REJECTED VWAP → VOLUME DECLINING,CONTRADICTED,,2026-09-16,NO_CLEAR_SETUP,BREAKOUT_UP,SENSEX,BUY_CE,INSIDE_VALUE,VOLUME_DECLINING,REJECTED_VWAP
NO_BREAK,WAIT,11:26,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → LOWER LOW → CROSSING VWAP → AT POC → VOLUME DECLINING,CONTRADICTED,,2026-09-16,PULLBACK_IN_TREND,TRENDING_DOWN,SENSEX,BUY_PE,AT_POC,VOLUME_DECLINING,CROSSING_VWAP
NO_BREAK,WAIT,11:58,"Bullish candidate with no clean setup: No break of 74,497.9. HIGHER HIGH → CROSSING VWAP → AT VAH → VOLUME SPIKE",NO_SETUP,,2026-09-18,NO_CLEAR_SETUP,BREAKOUT_UP,SENSEX,BUY_CE,AT_VAH,VOLUME_SPIKE,CROSSING_VWAP
CLEAN_BREAK,WAIT,11:55,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 23,355.9 → NO FOLLOW-THROUGH YET → BELOW VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL",PARTIAL,,2026-09-22,BREAKOUT_CONTINUATION,BREAKDOWN,NIFTY,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_NORMAL,BELOW_VWAP
CLEAN_BREAK,WAIT,10:38,"Partial: LOWER HIGH → HIGHER LOW → HIGH BREAK at 23,230.7 → NO FOLLOW-THROUGH YET → CROSSING VWAP → AT POC → VOLUME EXPANDING",PARTIAL,,2026-09-24,BREAKOUT_CONTINUATION,BREAKOUT_UP,NIFTY,BUY_CE,AT_POC,VOLUME_EXPANDING,CROSSING_VWAP
NO_BREAK,WAIT,13:52,Price action contradicts the candidate: volume is not confirming the move's direction. LOWER HIGH → LOWER LOW → DISTANT FROM VWAP → ACCEPTANCE BELOW VAL → VOLUME NORMAL,CONTRADICTED,,2026-09-24,PULLBACK_IN_TREND,TRENDING_DOWN,NIFTY,BUY_PE,ACCEPTANCE_BELOW_VAL,VOLUME_NORMAL,DISTANT_FROM_VWAP
NO_BREAK,WAIT,11:32,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → BELOW VWAP → AT VAL → VOLUME DECLINING,CONTRADICTED,,2026-09-24,NO_CLEAR_SETUP,BREAKDOWN,SENSEX,BUY_PE,AT_VAL,VOLUME_DECLINING,BELOW_VWAP
NO_BREAK,WAIT,15:13,Price action contradicts the candidate: volume is not confirming the move's direction. HIGHER HIGH → LOWER LOW → BELOW VWAP → VOLUME DECLINING,CONTRADICTED,,2026-09-24,NO_CLEAR_SETUP,MIXED,SENSEX,BUY_PE,INSIDE_VALUE,VOLUME_DECLINING,BELOW_VWAP
CLEAN_BREAK,WAIT,10:09,"Partial: LOWER LOW → HIGH BREAK at 23,084.1 → NO FOLLOW-THROUGH YET → REJECTED VWAP → VOLUME EXPANDING",PARTIAL,,2026-09-25,BREAKOUT_CONTINUATION,BREAKOUT_UP,NIFTY,BUY_CE,INSIDE_VALUE,VOLUME_EXPANDING,REJECTED_VWAP
NO_BREAK,WAIT,12:43,"Bearish candidate with no clean setup: No break of 23,063.1. LOWER HIGH → LOWER LOW → BELOW VWAP → AT VAL → VOLUME EXPANDING",NO_SETUP,,2026-09-25,NO_CLEAR_SETUP,BREAKDOWN,NIFTY,BUY_PE,AT_VAL,VOLUME_EXPANDING,BELOW_VWAP
CLEAN_BREAK,WAIT,12:44,"Partial: LOWER HIGH → LOWER LOW → LOW BREAK at 73,663.2 → NO FOLLOW-THROUGH YET → REJECTED VWAP → AT VAL → VOLUME NORMAL",PARTIAL,,2026-09-25,BREAKOUT_CONTINUATION,BREAKDOWN,SENSEX,BUY_PE,AT_VAL,VOLUME_NORMAL,REJECTED_VWAP
